Job_title,Company,Location,Job_Type,Job_URL
Software Development Intern – Full-Stack & AI,Sherkety -,"Alexandria, Egypt",Internship,https://wuzzuf.net/internship/rn5qmqxnv4w5-software-development-intern-full-stack-ai-sherkety-alexandria-egypt
Full Stack .NET Developer – AI-Assisted Development,Roaya -,"Maadi, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/l7avtmywmfxg-full-stack-net-developer-ai-assisted-development-roaya-cairo-egypt
"AI & API Integration Developer (Full-Time, Remote)",iBrokerage Ltd. -,"Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/izzdd2byxhfw-ai-api-integration-developer-full-time-remote-ibrokerage-ltd-cairo-egypt
Senior AI / Backend Engineer – Technical Lead (SaaS),Confidential -,"Kuwait City, Kuwait",Full Time,https://wuzzuf.net/jobs/p/eghcexks7ptv-senior-ai-backend-engineer-technical-lead-saas-kuwait-city-kuwait
AI & Business Process Transformation Manager,Luxury Hospitality -,"Giza, Egypt",Full Time,https://wuzzuf.net/jobs/p/7odmfeuocw2j-ai-business-process-transformation-manager-luxury-hospitality-giza-egypt
Senior AI & Software Engineer,The-Code -,"Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/3sknscktm5if-senior-ai-software-engineer-the-code-cairo-egypt
Middle Full-Stack (PHP) - AI Expertise,Vertex Technologies -,"Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/yqpqphojdzwj-middle-full-stack-php-ai-expertise-vertex-technologies-cairo-egypt
Junior AI Technology Engineer,Investia Venture Capital -,"New Cairo, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/gv1msetmo0bw-junior-ai-technology-engineer-investia-venture-capital-cairo-egypt
AI-Powered Full-Stack Developer,TAB ERP Solutions -,"Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/hbruwzefkcn0-ai-powered-full-stack-developer-tab-erp-solutions-cairo-egypt
B2B Sales Specialist – Enterprise AI & Learning Solutions,EpsilonAI -,"Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/gmkmvjt2c3cw-b2b-sales-specialist-enterprise-ai-learning-solutions-epsilonai-cairo-egypt
Telesales Executive – AI Solutions & Education,EpsilonAI -,"Nasr City, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/ifvsclqhpw2t-telesales-executive-ai-solutions-education-epsilonai-cairo-egypt
AI Engineer,Customer Audiences LLC -,"Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/cl7sairyxznk-ai-engineer-customer-audiences-llc-cairo-egypt
